AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40420,40850,42110,50380,50400,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32080,35680,38810,44950,48430,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",32080,35680,38810,44950,48430,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26760,33440,38590,43580,47980,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26760,33440,38590,43580,47980,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",31290,35910,38820,46740,61560,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",38590,41210,47140,62390,69990,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",38590,41210,47140,62390,69990,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35980,38390,47040,63540,75080,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35980,38390,47040,63540,75080,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34590,36660,39210,46350,56430,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34590,36660,39210,46350,56430,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25900,28520,34020,36710,42720,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",25900,28520,34020,36710,42720,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29700,36240,44690,55320,65630,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",29700,36240,44690,55320,65630,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",42370,54420,61620,76480,89870,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",28170,35300,43090,52000,60440,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26850,33530,40840,48770,61280,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",26850,31310,36910,40280,47080,
